id,date,bedrooms,bathrooms,sqft_living,sqft_lot,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15,price
381000110,20141107T000000,4,1.75,2720,7810,1510,1210,1952,0,47.6788,-122.283,2120,7315,599950
390100060,20150421T000000,3,1,1040,7541,1040,0,1951,0,47.7565,-122.339,1140,6100,325000
393000045,20141226T000000,5,1.75,3700,9140,1850,1850,1957,0,47.5086,-122.258,2190,6720,415000
395300100,20140514T000000,3,2.75,1850,9600,1850,0,1965,0,47.7259,-122.226,1250,10500,489200
396100025,20140807T000000,4,2,1740,6369,870,870,1954,0,47.7461,-122.332,1560,7200,339999
399000025,20150415T000000,3,1,1360,5967,1360,0,1954,0,47.4973,-122.256,1360,6052,265000
399000195,20141020T000000,3,1,960,7500,960,0,1953,0,47.4966,-122.255,1250,6000,200000
402000115,20141122T000000,3,1.75,1540,6273,770,770,1951,0,47.5305,-122.277,1140,5512,263500
402000260,20150211T000000,2,1,700,9500,700,0,1951,0,47.5294,-122.276,1020,5617,190000
405100295,20140826T000000,3,1.75,1420,8250,1420,0,1954,0,47.7535,-122.354,1740,8000,265000
408100105,20141103T000000,3,1,800,5760,700,100,1949,0,47.7505,-122.317,1060,6628,265000
408100110,20140612T000000,3,1.75,1800,6000,900,900,1950,0,47.7505,-122.317,1060,6628,381000
411100020,20141117T000000,3,1.75,1140,8263,1140,0,1950,0,47.7407,-122.327,1140,6770,310000
414100295,20140623T000000,2,1,1180,6552,1180,0,1949,0,47.7477,-122.342,1070,7200,275000
418000310,20140514T000000,2,1,700,5200,700,0,1952,0,47.4924,-122.175,1030,5200,155000
421000215,20150416T000000,2,1,700,5100,700,0,1953,0,47.4957,-122.168,970,5811,208000
421000285,20150423T000000,4,1.5,1730,7020,1730,0,1953,0,47.4939,-122.167,1110,7020,268000
421049116,20150121T000000,3,1,1280,8712,1280,0,1956,0,47.3298,-122.297,1420,8800,216000
421079105,20150309T000000,3,2.25,1480,97138,1480,0,1984,0,47.3317,-121.927,1730,176418,325000
422049178,20150212T000000,3,1,1420,9600,1420,0,1954,0,47.4232,-122.292,1400,8415,147200
423049067,20150205T000000,2,1,930,7742,930,0,1933,0,47.507,-122.302,2240,8723,160000
423059184,20141201T000000,3,1,1960,9583,1960,0,1908,0,47.505,-122.171,1850,8324,180000
424069233,20140531T000000,3,2.25,2675,40910,2675,0,1984,0,47.5916,-122.055,2300,39438,660000
424069250,20150423T000000,4,2.75,2440,69415,1910,530,1989,0,47.5944,-122.042,2770,24361,785000
424069264,20140522T000000,4,2.5,2930,18199,2930,0,1998,0,47.5937,-122.047,2930,33976,749000
425069104,20141215T000000,3,2.5,2410,46609,2410,0,1989,0,47.6789,-122.048,3370,40072,715000
425069139,20141027T000000,4,2.25,2090,45738,2090,0,1987,0,47.6876,-122.049,3420,45738,600000
425069147,20150313T000000,4,2.25,2240,45738,2240,0,1988,0,47.687,-122.047,3180,45738,610000
425079100,20141231T000000,3,2.75,1840,68479,1340,500,1989,0,47.6802,-121.908,2060,61903,406500
426059055,20141003T000000,3,1.75,2410,35236,2410,0,1980,2001,47.7651,-122.166,2110,16980,620000
428000055,20150406T000000,3,1,1020,13504,1020,0,1959,0,47.5121,-122.17,1110,11158,322500
434000030,20141219T000000,3,2,2080,7020,1040,1040,1951,0,47.6768,-122.285,1920,7000,555000
438000025,20140513T000000,4,2,2260,6000,1430,830,1958,0,47.6876,-122.298,2030,5874,628000
439000090,20150323T000000,4,2.25,1950,6000,1350,600,1961,0,47.6909,-122.301,1980,6000,564500
442000015,20140612T000000,3,1,1050,5664,910,140,1947,0,47.6897,-122.285,1500,5664,445000
446000190,20141208T000000,5,3.25,2450,6534,1770,680,1951,2014,47.688,-122.281,1620,6534,849000
452002005,20150121T000000,2,1,980,5000,980,0,1904,0,47.6744,-122.369,1270,4500,452000
461000390,20140624T000000,4,1.75,2330,5000,1510,820,1929,0,47.6823,-122.368,1460,5000,687500
461001615,20150225T000000,2,1.75,1760,5000,940,820,1927,0,47.682,-122.372,1530,5000,605000
461002025,20150501T000000,2,2,1300,2500,770,530,1926,0,47.6831,-122.373,1160,5000,501000
461002551,20141004T000000,1,1,580,1799,580,0,1908,2005,47.6829,-122.375,1260,4000,330600
461003251,20140801T000000,3,2.25,1130,1221,1030,100,2004,0,47.6799,-122.375,1300,5000,437000
461004195,20141104T000000,2,1,840,5000,840,0,1908,0,47.6803,-122.371,1240,5000,457500
461004720,20150422T000000,3,2,1380,5000,1380,0,1917,0,47.6807,-122.369,1350,5000,563000
461005360,20141107T000000,4,3,2820,2850,1860,960,1928,0,47.6813,-122.367,1570,4500,697000
464000600,20140827T000000,3,2.5,2220,2550,2220,0,1990,0,47.6963,-122.393,2200,5610,641250
472000055,20140514T000000,3,1.75,2000,5000,1110,890,1921,0,47.6859,-122.399,1750,5000,546000
475000750,20140925T000000,3,2,1750,4990,950,800,1916,0,47.6667,-122.361,1700,5000,477000
475001295,20140625T000000,3,1.5,1840,5000,1340,500,1915,0,47.6652,-122.362,1840,5000,750000
476000335,20141217T000000,2,1.5,1320,1194,1320,0,2001,0,47.6704,-122.39,1320,1250,430000
486000565,20140515T000000,4,1.75,2930,11562,1670,1260,1947,0,47.6765,-122.404,2530,6517,840000
492000475,20141211T000000,4,1.5,2010,7561,1890,120,1921,0,47.311,-122.227,1420,6564,245000
509000090,20141006T000000,3,2.5,3190,49137,3190,0,1988,0,47.6027,-122.043,3240,53143,760750
510002065,20150323T000000,4,1,1980,4560,1980,0,1920,0,47.6606,-122.331,1810,3245,700000
510002519,20140715T000000,2,1.5,1140,1058,1140,0,2005,0,47.6608,-122.333,1170,1116,466000
513000550,20140922T000000,3,2,2520,5980,1790,730,1957,0,47.5767,-122.383,1590,5750,650000
514500090,20140513T000000,4,2,2250,7500,1200,1050,1956,0,47.5877,-122.157,1440,7500,550000
522049104,20140729T000000,5,1.75,2340,9148,2340,0,1957,0,47.4232,-122.324,1390,10019,210000
522059013,20140612T000000,2,1,820,10450,820,0,1965,0,47.4261,-122.199,1240,11200,173000
522059299,20150204T000000,3,1.75,1280,12776,1280,0,1977,0,47.4212,-122.199,1680,11704,300000
522069022,20140714T000000,5,2.5,2950,72309,2950,0,2006,0,47.4186,-122.079,1480,56192,599000
522069097,20141125T000000,2,1,720,212137,720,0,1982,0,47.422,-122.066,2010,109642,150000
522069119,20150512T000000,3,2.5,2720,62310,2040,680,1985,0,47.4168,-122.074,2770,204296,550000
522079067,20150408T000000,3,2.5,3310,387684,2160,1150,1919,1996,47.4167,-121.936,2340,189050,649950
524069037,20140710T000000,2,1,1240,57000,1240,0,1962,0,47.597,-122.059,3050,25545,505000
524069049,20150402T000000,3,1.5,1460,78408,1460,0,1963,0,47.59,-122.058,3320,7787,700000
525049085,20140918T000000,3,1.75,1720,4050,860,860,1906,0,47.6782,-122.314,1720,4410,575000
534000075,20140506T000000,2,1,720,6687,720,0,1942,0,47.7001,-122.362,840,6687,329350
534000112,20150203T000000,2,2.5,1270,1242,1270,0,2008,0,47.701,-122.362,1280,1199,348000
537000445,20150331T000000,3,1,1250,8200,1250,0,1954,0,47.3255,-122.304,1680,8633,282950
538000030,20140730T000000,3,2,1540,6250,1540,0,1998,0,47.3539,-122.025,2070,6250,272500
538000390,20141028T000000,5,2.5,2070,4698,2070,0,1999,0,47.3539,-122.024,2010,4698,337500
546000045,20150325T000000,2,1,800,4046,800,0,1940,0,47.6895,-122.382,1400,4046,422500
546000400,20150422T000000,5,2.5,1690,2402,990,700,1930,0,47.6903,-122.38,1200,4005,515000
546000820,20141110T000000,2,1,980,4108,980,0,1947,0,47.687,-122.381,1500,4046,415000
546000875,20140523T000000,3,1,1670,4005,1170,500,1939,0,47.6878,-122.38,1240,4005,460000
546000930,20140630T000000,4,2.25,2500,4046,1520,980,1940,0,47.6882,-122.382,1410,4046,669500
561000075,20141231T000000,3,1,1180,5350,1180,0,1959,0,47.505,-122.259,1490,5350,260000
561000300,20140623T000000,3,3.75,1950,8625,1360,590,1959,0,47.505,-122.258,1950,6670,345100
565300110,20141216T000000,3,2.5,2390,6435,1600,790,1978,0,47.726,-122.194,2020,7300,432500
567000268,20140821T000000,3,2.5,1639,2710,1479,160,2003,0,47.5924,-122.294,1580,1733,450000
567000392,20141103T000000,2,2,920,1201,800,120,2009,0,47.5926,-122.295,1150,1161,363000
567000672,20140930T000000,3,3,1260,1251,1040,220,2003,0,47.5943,-122.296,1780,7715,342000
567000755,20141205T000000,2,3,1790,1709,1400,390,2001,0,47.5926,-122.296,1460,1462,450000
573000490,20141124T000000,3,2.25,1970,4564,1470,500,1959,0,47.6703,-122.41,1980,5000,625000
573000685,20140717T000000,2,1.75,1550,6000,1550,0,1920,0,47.6712,-122.409,2360,6000,805000
579000096,20141010T000000,3,1.5,1620,7500,1620,0,1949,0,47.7014,-122.381,2440,7800,780000
579003610,20150224T000000,3,1.5,1430,5200,1250,180,1940,0,47.6988,-122.387,2210,6240,517500
582000135,20140622T000000,2,1.75,1330,6000,960,370,1914,1945,47.6539,-122.396,1620,6000,565000
585000008,20150413T000000,2,1,1020,4002,1020,0,1953,0,47.5828,-122.395,1780,5000,460000
597000195,20150203T000000,3,1.75,1460,4000,730,730,1929,0,47.5768,-122.307,1360,4000,527200
600000152,20140602T000000,3,1.5,2030,8880,1330,700,1963,0,47.5586,-122.311,2140,5592,404000
613400030,20141024T000000,3,2.75,2030,6840,1210,820,1979,0,47.5413,-122.299,1910,6365,360000
616000140,20150126T000000,3,1,1900,14400,1300,600,1954,0,47.4147,-122.337,1940,14400,315000
616000160,20141210T000000,3,2,1770,14400,1770,0,1959,0,47.415,-122.337,1900,14400,381000
619000045,20140922T000000,3,1.75,1410,15210,1410,0,1950,2014,47.4181,-122.339,1970,16290,404000
619000100,20140724T000000,3,1.75,2140,15030,1570,570,1958,0,47.4181,-122.338,2170,15030,419000
621069039,20150220T000000,4,2.25,1620,106722,1200,420,1980,0,47.3394,-122.091,1620,38400,327000
621069074,20140603T000000,3,2.5,1720,99916,1720,0,1990,0,47.3391,-122.093,1340,73180,365000
621069113,20141218T000000,3,1.5,1090,10454,1090,0,1963,0,47.3425,-122.082,1230,12196,200000
621069146,20140818T000000,2,1.75,1180,55321,1180,0,1941,2004,47.3329,-122.091,1480,56192,311000
622059019,20140919T000000,5,1.5,1830,94960,1830,0,1929,0,47.4218,-122.218,1440,16365,220000
622059031,20140604T000000,4,1,1540,115434,1540,0,1923,0,47.4163,-122.22,2027,23522,759600
623049315,20140701T000000,3,2.5,1680,11312,1080,600,1959,0,47.5051,-122.344,1390,10700,330000
623069068,20140627T000000,3,1,1520,213444,1520,0,1988,0,47.5081,-122.093,2640,213444,425000
624110930,20140724T000000,3,3.5,3460,15745,3460,0,1986,0,47.7262,-122.06,3350,14825,845000
