id,label,cap-shape,cap-surface,bruises,odor,gill-attachment,gill-spacing,gill-size,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,veil-type,ring-number,ring-type,spore-print-color,population,habitat,cap-color-rate,gill-color-rate,veil-color-rate,stalk-color-above-ring-rate,stalk-color-below-ring-rate
67,e,x,f,t,n,f,,,,,,,,,,,,,5,,,,
68,e,f,s,f,n,f,,,,,,,,,,,,,3,,,,
69,e,x,y,t,n,f,,,,,,,,,,,,,1,,,,
70,e,x,f,t,n,f,,,,,,,,,,,,,4,,,,
71,e,x,f,t,n,f,,,,,,,,,,,,,1,,,,
72,e,x,f,t,n,f,,,,,,,,,,,,,5,,,,
73,e,f,f,t,n,f,,,,,,,,,,,,,1,,,,
74,e,x,f,t,n,f,,,,,,,,,,,,,1,,,,
75,e,x,y,t,n,f,,,,,,,,,,,,,1,,,,
76,p,f,s,t,p,f,,,,,,,,,,,,,3,,,,
77,e,x,f,t,n,f,,,,,,,,,,,,,4,,,,
78,e,f,s,f,n,f,,,,,,,,,,,,,3,,,,
79,e,x,s,f,n,f,,,,,,,,,,,,,4,,,,
80,e,x,f,t,n,f,,,,,,,,,,,,,4,,,,
81,e,f,f,t,n,f,,,,,,,,,,,,,1,,,,
82,e,x,f,t,n,f,,,,,,,,,,,,,5,,,,
83,e,x,y,t,n,f,,,,,,,,,,,,,4,,,,
84,e,f,f,t,n,f,,,,,,,,,,,,,1,,,,
85,e,x,f,t,n,f,,,,,,,,,,,,,1,,,,
86,p,x,f,f,f,f,,,,,,,,,,,,,4,,,,
87,e,x,y,t,n,f,,,,,,,,,,,,,5,,,,
88,e,x,f,f,n,f,,,,,,,,,,,,,1,,,,
89,p,x,s,t,p,f,,,,,,,,,,,,,3,,,,
90,e,x,y,t,n,f,,,,,,,,,,,,,4,,,,
91,e,f,f,t,n,f,,,,,,,,,,,,,1,,,,
92,e,x,f,t,n,f,,,,,,,,,,,,,1,,,,
93,e,x,y,t,n,f,,,,,,,,,,,,,4,,,,
94,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4,5,1,2,5
95,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1,6,1,2,5
96,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,6,1,3,1
97,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4,6,1,1,4
98,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4,1,1,3,5
99,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5,6,1,3,4
100,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5,1,1,1,1
101,p,x,s,t,p,f,c,n,e,e,s,s,p,o,p,k,v,g,3,1,1,1,1
102,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4,1,1,1,1
103,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4,4,1,3,5
104,e,f,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5,5,1,1,5
105,e,f,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4,4,1,2,5
106,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1,5,1,1,1
107,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5,5,1,3,1
108,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5,5,1,1,1
109,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5,5,1,3,1
110,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4,1,1,2,4
111,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4,4,1,1,1
112,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1,4,1,1,5
113,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1,4,1,2,5
114,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4,1,1,2,5
115,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4,6,1,2,5
116,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,4,1,2,5
117,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1,5,1,3,5
118,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,6,1,3,1
119,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,4,1,2,4
120,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,4,1,2,4
121,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1,6,1,2,4
122,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1,4,1,3,1
123,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,4,1,3,5
124,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4,1,1,2,5
125,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5,6,1,1,1
126,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1,4,1,3,4
127,p,x,s,f,c,f,c,n,e,b,s,s,p,o,p,k,v,d,6,2,1,1,1
128,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5,6,1,2,5
129,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,5,1,2,4
130,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,5,1,2,5
131,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,5,6,1,2,4
132,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5,1,1,1,4
133,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4,5,1,1,4
134,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4,1,1,2,1
135,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4,4,1,3,1
136,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4,6,1,2,4
137,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4,4,1,1,4
138,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,5,6,1,1,4
139,e,f,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,4,1,2,4
140,e,f,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5,6,1,3,1
141,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4,6,1,1,1
142,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4,5,1,2,5
143,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4,1,1,2,1
144,p,x,f,f,f,f,c,b,e,b,k,k,p,o,l,h,y,g,4,7,1,4,6
145,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,6,1,1,5
146,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5,4,1,3,5
147,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,5,1,2,4
148,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1,4,1,1,1
149,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,4,1,2,1
150,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4,1,1,1,1
151,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4,4,1,2,1
152,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4,5,1,2,5
153,e,x,f,f,n,f,w,b,t,e,s,f,p,o,e,n,a,g,4,3,1,1,1
154,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4,1,1,1,1
155,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5,4,1,1,5
156,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,4,1,2,5
157,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5,1,1,3,1
158,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4,4,1,1,1
159,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,4,1,3,4
160,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,5,5,1,1,5
161,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,5,1,1,5
162,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4,4,1,1,1
163,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4,1,1,3,1
164,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4,6,1,1,5
165,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1,6,1,2,1
166,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4,4,1,3,4
167,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1,4,1,3,5
168,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5,4,1,2,1
169,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,6,1,2,5
170,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4,5,1,3,5
171,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4,4,1,1,4
172,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4,4,1,1,4
173,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,5,1,3,4
174,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4,5,1,2,1
175,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4,4,1,1,5
176,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,5,1,1,1,5
177,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,5,1,2,4
178,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4,6,1,1,4
179,p,f,y,t,p,f,c,n,e,e,s,s,p,o,p,k,s,u,1,3,1,1,1
180,e,x,s,f,n,f,w,b,t,e,f,s,p,o,e,n,s,g,4,1,1,1,1
181,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4,6,1,3,5
182,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5,1,1,1,4
183,p,x,s,f,c,f,w,n,e,b,s,s,p,o,p,n,s,d,6,6,1,1,1
184,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,5,1,2,5
185,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5,4,1,1,4
186,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1,4,1,1,1
187,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5,6,1,2,4
188,e,x,s,f,n,f,w,b,t,e,s,s,p,o,e,n,s,g,3,3,1,1,1
189,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4,4,1,3,5
190,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4,1,1,3,5
191,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4,1,1,2,5
192,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5,1,1,3,1
193,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4,1,1,2,1
194,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4,5,1,1,5
195,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5,4,1,3,5
196,p,f,y,t,p,f,c,n,e,e,s,s,p,o,p,n,v,u,3,4,1,1,1
197,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1,6,1,1,1
198,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5,5,1,3,1
199,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,5,1,1,2,5
200,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4,4,1,1,4
201,e,f,s,f,n,f,w,b,t,e,f,f,p,o,e,k,s,g,3,7,1,1,1
202,e,x,f,f,n,f,w,b,t,e,f,s,p,o,e,n,a,g,1,3,1,1,1
203,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,5,1,2,5
204,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1,1,1,2,4
205,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5,4,1,1,4
206,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5,6,1,2,5
207,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5,4,1,2,1
208,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,5,1,1,5
209,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4,5,1,1,1
210,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,5,1,1,4
211,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,5,1,1,1,5
212,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,5,5,1,2,5
213,p,x,s,f,c,f,w,n,e,b,s,s,p,o,p,n,s,d,3,4,1,1,1
214,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,6,1,2,5
215,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4,4,1,2,5
216,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,6,1,1,1
217,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,4,1,2,4
218,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5,5,1,3,5
219,e,f,s,f,n,f,w,b,t,e,f,s,p,o,e,n,s,g,3,1,1,1,1
220,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4,6,1,2,5
221,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5,4,1,2,5
222,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1,1,1,1,4
223,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,4,1,1,4
224,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,1,1,3,1
225,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4,1,1,1,5
226,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,1,1,1,1
227,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4,6,1,2,1
228,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,5,1,1,1
229,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,4,1,1,5
230,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1,4,1,2,1
231,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4,1,1,1,5
232,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5,5,1,2,5
233,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,1,1,2,5
234,p,x,f,f,f,f,c,b,e,b,k,k,p,o,l,h,y,p,4,2,1,5,6
235,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4,6,1,2,5
236,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5,6,1,3,4
237,p,x,f,f,f,f,c,b,e,b,k,k,p,o,l,h,v,d,4,7,1,2,6
238,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5,1,1,1,1
239,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5,1,1,1,4
240,p,x,f,f,f,f,c,b,e,b,k,k,p,o,l,h,y,d,4,7,1,4,7
241,p,x,f,f,c,f,w,n,e,b,s,s,p,o,p,n,s,d,6,1,1,1,1
242,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4,6,1,1,1
243,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4,4,1,2,4
244,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4,6,1,1,5
245,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4,5,1,1,5
246,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4,1,1,1,4
247,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4,1,1,3,4
248,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4,5,1,1,5
249,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5,4,1,3,5
250,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,5,1,1,1
251,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,6,1,2,4
252,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,4,1,1,4
253,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1,6,1,2,1
254,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4,1,1,2,4
255,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4,4,1,1,4
256,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1,6,1,2,5
257,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,5,5,1,2,4
258,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1,6,1,2,4
259,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4,1,1,2,1
260,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,6,1,2,4
261,p,x,f,f,c,f,c,n,e,b,s,s,p,o,p,k,v,d,3,2,1,1,1
262,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,6,1,1,5
263,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,5,5,1,2,1
264,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1,1,1,3,4
265,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,4,1,1,2,5
266,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5,5,1,1,5
267,p,x,f,f,f,f,c,b,e,b,k,k,p,o,l,h,y,d,4,4,1,4,5
268,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5,1,1,1,5
269,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4,4,1,3,4
270,e,f,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5,5,1,1,1
271,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,5,4,1,2,5
272,p,x,f,f,f,f,c,b,e,b,k,k,p,o,l,h,v,g,4,4,1,4,5
273,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,1,5,1,1,4
274,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,4,1,3,5
275,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,4,1,3,1
276,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,1,1,1,1
277,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4,6,1,1,4
278,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,1,1,1,4
279,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4,4,1,3,4
280,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5,1,1,2,5
281,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5,1,1,2,1
282,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4,4,1,2,4
283,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,5,1,1,1,4
284,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1,1,1,2,5
285,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1,5,1,1,4
286,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4,4,1,2,5
287,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,y,d,4,5,1,2,4
288,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5,6,1,2,4
289,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1,5,1,3,4
290,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1,4,1,2,4
291,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5,4,1,3,5
292,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1,1,1,2,1
293,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1,4,1,1,1
294,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1,5,1,2,5
295,p,x,f,f,f,f,c,b,e,b,k,k,p,o,l,h,v,p,4,2,1,4,7
