"iid";"id";"gender";"order";"age_o";"age";"race";"sports";"tvsports";"dining";"art";"hiking";"reading";"tv";"theater";"movies";"music";"shopping";"yoga";"fun";"goal"
4;4;0;2;22;23;2;1;1;7;7;7;7;7;9;7;7;1;8;10.0;1
4;4;0;9;22;23;2;1;1;7;7;7;7;7;9;7;7;1;8;8.0;1
4;4;0;4;23;23;2;1;1;7;7;7;7;7;9;7;7;1;8;10.0;1
4;4;0;6;24;23;2;1;1;7;7;7;7;7;9;7;7;1;8;9.0;1
4;4;0;5;25;23;2;1;1;7;7;7;7;7;9;7;7;1;8;4.0;1
4;4;0;10;30;23;2;1;1;7;7;7;7;7;9;7;7;1;8;7.0;1
4;4;0;1;27;23;2;1;1;7;7;7;7;7;9;7;7;1;8;5.0;1
4;4;0;7;28;23;2;1;1;7;7;7;7;7;9;7;7;1;8;10.0;1
4;4;0;8;24;23;2;1;1;7;7;7;7;7;9;7;7;1;8;10.0;1
5;5;0;1;27;21;2;7;4;7;8;6;6;8;6;6;7;8;3;2.0;2
5;5;0;10;22;21;2;7;4;7;8;6;6;8;6;6;7;8;3;5.0;2
5;5;0;7;22;21;2;7;4;7;8;6;6;8;6;6;7;8;3;8.0;2
5;5;0;2;23;21;2;7;4;7;8;6;6;8;6;6;7;8;3;7.0;2
5;5;0;4;24;21;2;7;4;7;8;6;6;8;6;6;7;8;3;5.0;2
5;5;0;3;25;21;2;7;4;7;8;6;6;8;6;6;7;8;3;5.0;2
5;5;0;8;30;21;2;7;4;7;8;6;6;8;6;6;7;8;3;5.0;2
5;5;0;9;27;21;2;7;4;7;8;6;6;8;6;6;7;8;3;6.0;2
5;5;0;5;28;21;2;7;4;7;8;6;6;8;6;6;7;8;3;8.0;2
5;5;0;6;24;21;2;7;4;7;8;6;6;8;6;6;7;8;3;9.0;2
6;6;0;5;27;23;4;10;8;7;7;9;9;2;5;6;4;1;1;6.0;1
6;6;0;4;22;23;4;10;8;7;7;9;9;2;5;6;4;1;1;6.0;1
6;6;0;1;22;23;4;10;8;7;7;9;9;2;5;6;4;1;1;4.0;1
6;6;0;6;23;23;4;10;8;7;7;9;9;2;5;6;4;1;1;8.0;1
6;6;0;8;24;23;4;10;8;7;7;9;9;2;5;6;4;1;1;8.0;1
6;6;0;7;25;23;4;10;8;7;7;9;9;2;5;6;4;1;1;1.0;1
6;6;0;2;30;23;4;10;8;7;7;9;9;2;5;6;4;1;1;8.0;1
6;6;0;3;27;23;4;10;8;7;7;9;9;2;5;6;4;1;1;2.0;1
6;6;0;9;28;23;4;10;8;7;7;9;9;2;5;6;4;1;1;8.0;1
6;6;0;10;24;23;4;10;8;7;7;9;9;2;5;6;4;1;1;9.0;1
7;7;0;2;27;22;4;5;3;10;10;2;8;8;10;10;10;10;10;5.0;1
7;7;0;1;22;22;4;5;3;10;10;2;8;8;10;10;10;10;10;4.0;1
7;7;0;8;22;22;4;5;3;10;10;2;8;8;10;10;10;10;10;7.0;1
7;7;0;3;23;22;4;5;3;10;10;2;8;8;10;10;10;10;10;7.0;1
7;7;0;5;24;22;4;5;3;10;10;2;8;8;10;10;10;10;10;4.0;1
7;7;0;4;25;22;4;5;3;10;10;2;8;8;10;10;10;10;10;4.0;1
7;7;0;9;30;22;4;5;3;10;10;2;8;8;10;10;10;10;10;7.0;1
7;7;0;10;27;22;4;5;3;10;10;2;8;8;10;10;10;10;10;5.0;1
7;7;0;6;28;22;4;5;3;10;10;2;8;8;10;10;10;10;10;8.0;1
7;7;0;7;24;22;4;5;3;10;10;2;8;8;10;10;10;10;10;7.0;1
8;8;0;7;27;25;2;2;2;10;9;3;8;10;9;9;6;8;6;4.0;1
8;8;0;6;22;25;2;2;2;10;9;3;8;10;9;9;6;8;6;9.0;1
8;8;0;3;22;25;2;2;2;10;9;3;8;10;9;9;6;8;6;6.0;1
8;8;0;8;23;25;2;2;2;10;9;3;8;10;9;9;6;8;6;6.0;1
8;8;0;10;24;25;2;2;2;10;9;3;8;10;9;9;6;8;6;5.0;1
8;8;0;9;25;25;2;2;2;10;9;3;8;10;9;9;6;8;6;5.0;1
8;8;0;4;30;25;2;2;2;10;9;3;8;10;9;9;6;8;6;5.0;1
8;8;0;5;27;25;2;2;2;10;9;3;8;10;9;9;6;8;6;4.0;1
8;8;0;1;28;25;2;2;2;10;9;3;8;10;9;9;6;8;6;9.0;1
8;8;0;2;24;25;2;2;2;10;9;3;8;10;9;9;6;8;6;7.0;1
9;9;0;8;27;26;6;4;3;8;7;2;8;8;10;10;9;8;3;8.0;1
9;9;0;7;22;26;6;4;3;8;7;2;8;8;10;10;9;8;3;10.0;1
9;9;0;4;22;26;6;4;3;8;7;2;8;8;10;10;9;8;3;6.0;1
9;9;0;9;23;26;6;4;3;8;7;2;8;8;10;10;9;8;3;8.0;1
9;9;0;1;24;26;6;4;3;8;7;2;8;8;10;10;9;8;3;8.0;1
9;9;0;10;25;26;6;4;3;8;7;2;8;8;10;10;9;8;3;7.0;1
9;9;0;5;30;26;6;4;3;8;7;2;8;8;10;10;9;8;3;6.0;1
9;9;0;6;27;26;6;4;3;8;7;2;8;8;10;10;9;8;3;7.0;1
9;9;0;2;28;26;6;4;3;8;7;2;8;8;10;10;9;8;3;6.0;1
9;9;0;3;24;26;6;4;3;8;7;2;8;8;10;10;9;8;3;8.0;1
10;10;0;9;27;26;2;9;9;7;6;7;8;5;6;7;8;7;7;6.0;2
10;10;0;8;22;26;2;9;9;7;6;7;8;5;6;7;8;7;7;1.0;2
10;10;0;5;22;26;2;9;9;7;6;7;8;5;6;7;8;7;7;10.0;2
10;10;0;10;23;26;2;9;9;7;6;7;8;5;6;7;8;7;7;10.0;2
10;10;0;2;24;26;2;9;9;7;6;7;8;5;6;7;8;7;7;7.0;2
10;10;0;1;25;26;2;9;9;7;6;7;8;5;6;7;8;7;7;4.0;2
10;10;0;6;30;26;2;9;9;7;6;7;8;5;6;7;8;7;7;6.0;2
10;10;0;7;27;26;2;9;9;7;6;7;8;5;6;7;8;7;7;4.0;2
10;10;0;3;28;26;2;9;9;7;6;7;8;5;6;7;8;7;7;9.0;2
10;10;0;4;24;26;2;9;9;7;6;7;8;5;6;7;8;7;7;10.0;2
11;1;1;4;21;27;2;8;7;6;5;5;9;2;4;8;8;5;1;8.0;1
11;1;1;10;24;27;2;8;7;6;5;5;9;2;4;8;8;5;1;9.0;1
11;1;1;6;25;27;2;8;7;6;5;5;9;2;4;8;8;5;1;5.0;1
11;1;1;3;23;27;2;8;7;6;5;5;9;2;4;8;8;5;1;7.0;1
11;1;1;1;21;27;2;8;7;6;5;5;9;2;4;8;8;5;1;8.0;1
11;1;1;5;23;27;2;8;7;6;5;5;9;2;4;8;8;5;1;9.0;1
11;1;1;2;22;27;2;8;7;6;5;5;9;2;4;8;8;5;1;8.0;1
11;1;1;7;25;27;2;8;7;6;5;5;9;2;4;8;8;5;1;6.0;1
11;1;1;8;26;27;2;8;7;6;5;5;9;2;4;8;8;5;1;8.0;1
11;1;1;9;26;27;2;8;7;6;5;5;9;2;4;8;8;5;1;8.0;1
12;2;1;3;21;22;2;9;7;8;6;3;6;6;4;7;9;5;5;7.0;1
12;2;1;9;24;22;2;9;7;8;6;3;6;6;4;7;9;5;5;6.0;1
12;2;1;5;25;22;2;9;7;8;6;3;6;6;4;7;9;5;5;6.0;1
12;2;1;2;23;22;2;9;7;8;6;3;6;6;4;7;9;5;5;6.0;1
12;2;1;10;21;22;2;9;7;8;6;3;6;6;4;7;9;5;5;7.0;1
12;2;1;4;23;22;2;9;7;8;6;3;6;6;4;7;9;5;5;6.0;1
12;2;1;1;22;22;2;9;7;8;6;3;6;6;4;7;9;5;5;6.0;1
12;2;1;6;25;22;2;9;7;8;6;3;6;6;4;7;9;5;5;7.0;1
12;2;1;7;26;22;2;9;7;8;6;3;6;6;4;7;9;5;5;7.0;1
12;2;1;8;26;22;2;9;7;8;6;3;6;6;4;7;9;5;5;1.0;1
13;3;1;10;21;22;4;7;8;9;6;4;6;8;10;8;9;8;1;10.0;2
13;3;1;6;24;22;4;7;8;9;6;4;6;8;10;8;9;8;1;10.0;2
13;3;1;2;25;22;4;7;8;9;6;4;6;8;10;8;9;8;1;10.0;2
13;3;1;9;23;22;4;7;8;9;6;4;6;8;10;8;9;8;1;10.0;2
13;3;1;7;21;22;4;7;8;9;6;4;6;8;10;8;9;8;1;10.0;2
13;3;1;1;23;22;4;7;8;9;6;4;6;8;10;8;9;8;1;10.0;2
13;3;1;8;22;22;4;7;8;9;6;4;6;8;10;8;9;8;1;10.0;2
13;3;1;3;25;22;4;7;8;9;6;4;6;8;10;8;9;8;1;10.0;2
13;3;1;4;26;22;4;7;8;9;6;4;6;8;10;8;9;8;1;10.0;2
13;3;1;5;26;22;4;7;8;9;6;4;6;8;10;8;9;8;1;10.0;2
14;4;1;5;21;23;2;10;6;8;3;10;6;7;3;10;8;6;1;8.0;2
14;4;1;1;24;23;2;10;6;8;3;10;6;7;3;10;8;6;1;9.0;2
14;4;1;7;25;23;2;10;6;8;3;10;6;7;3;10;8;6;1;8.0;2
14;4;1;4;23;23;2;10;6;8;3;10;6;7;3;10;8;6;1;9.0;2
14;4;1;2;21;23;2;10;6;8;3;10;6;7;3;10;8;6;1;8.0;2
14;4;1;6;23;23;2;10;6;8;3;10;6;7;3;10;8;6;1;7.0;2
14;4;1;3;22;23;2;10;6;8;3;10;6;7;3;10;8;6;1;8.0;2
14;4;1;8;25;23;2;10;6;8;3;10;6;7;3;10;8;6;1;8.0;2
14;4;1;9;26;23;2;10;6;8;3;10;6;7;3;10;8;6;1;8.0;2
14;4;1;10;26;23;2;10;6;8;3;10;6;7;3;10;8;6;1;9.0;2
15;5;1;7;21;24;3;9;7;7;3;6;8;6;9;9;7;2;1;6.0;1
15;5;1;3;24;24;3;9;7;7;3;6;8;6;9;9;7;2;1;10.0;1
15;5;1;9;25;24;3;9;7;7;3;6;8;6;9;9;7;2;1;6.0;1
15;5;1;6;23;24;3;9;7;7;3;6;8;6;9;9;7;2;1;8.0;1
15;5;1;4;21;24;3;9;7;7;3;6;8;6;9;9;7;2;1;7.0;1
15;5;1;8;23;24;3;9;7;7;3;6;8;6;9;9;7;2;1;7.0;1
15;5;1;5;22;24;3;9;7;7;3;6;8;6;9;9;7;2;1;6.0;1
15;5;1;10;25;24;3;9;7;7;3;6;8;6;9;9;7;2;1;9.0;1
15;5;1;1;26;24;3;9;7;7;3;6;8;6;9;9;7;2;1;9.0;1
15;5;1;2;26;24;3;9;7;7;3;6;8;6;9;9;7;2;1;7.0;1
16;6;1;6;21;25;2;7;2;7;7;5;8;3;7;8;8;6;1;8.0;1
16;6;1;2;24;25;2;7;2;7;7;5;8;3;7;8;8;6;1;5.0;1
16;6;1;8;25;25;2;7;2;7;7;5;8;3;7;8;8;6;1;6.0;1
16;6;1;5;23;25;2;7;2;7;7;5;8;3;7;8;8;6;1;7.0;1
16;6;1;3;21;25;2;7;2;7;7;5;8;3;7;8;8;6;1;7.0;1
16;6;1;7;23;25;2;7;2;7;7;5;8;3;7;8;8;6;1;8.0;1
16;6;1;4;22;25;2;7;2;7;7;5;8;3;7;8;8;6;1;6.0;1
16;6;1;9;25;25;2;7;2;7;7;5;8;3;7;8;8;6;1;7.0;1
16;6;1;10;26;25;2;7;2;7;7;5;8;3;7;8;8;6;1;8.0;1
16;6;1;1;26;25;2;7;2;7;7;5;8;3;7;8;8;6;1;7.0;1
17;7;1;1;21;30;2;8;2;7;5;4;4;2;7;9;7;2;2;5.0;3
17;7;1;7;24;30;2;8;2;7;5;4;4;2;7;9;7;2;2;3.0;3
17;7;1;3;25;30;2;8;2;7;5;4;4;2;7;9;7;2;2;4.0;3
17;7;1;10;23;30;2;8;2;7;5;4;4;2;7;9;7;2;2;5.0;3
17;7;1;8;21;30;2;8;2;7;5;4;4;2;7;9;7;2;2;4.0;3
17;7;1;2;23;30;2;8;2;7;5;4;4;2;7;9;7;2;2;4.0;3
17;7;1;9;22;30;2;8;2;7;5;4;4;2;7;9;7;2;2;4.0;3
17;7;1;4;25;30;2;8;2;7;5;4;4;2;7;9;7;2;2;5.0;3
17;7;1;5;26;30;2;8;2;7;5;4;4;2;7;9;7;2;2;8.0;3
17;7;1;6;26;30;2;8;2;7;5;4;4;2;7;9;7;2;2;3.0;3
18;8;1;2;21;27;2;5;5;9;3;4;6;9;3;9;6;2;1;6.0;1
18;8;1;8;24;27;2;5;5;9;3;4;6;9;3;9;6;2;1;7.0;1
18;8;1;4;25;27;2;5;5;9;3;4;6;9;3;9;6;2;1;4.0;1
18;8;1;1;23;27;2;5;5;9;3;4;6;9;3;9;6;2;1;6.0;1
18;8;1;9;21;27;2;5;5;9;3;4;6;9;3;9;6;2;1;5.0;1
18;8;1;3;23;27;2;5;5;9;3;4;6;9;3;9;6;2;1;7.0;1
18;8;1;10;22;27;2;5;5;9;3;4;6;9;3;9;6;2;1;7.0;1
18;8;1;5;25;27;2;5;5;9;3;4;6;9;3;9;6;2;1;8.0;1
18;8;1;6;26;27;2;5;5;9;3;4;6;9;3;9;6;2;1;7.0;1
18;8;1;7;26;27;2;5;5;9;3;4;6;9;3;9;6;2;1;6.0;1
19;9;1;8;21;28;2;10;10;10;5;6;8;1;1;7;7;7;10;8.0;4
19;9;1;4;24;28;2;10;10;10;5;6;8;1;1;7;7;7;10;9.0;4
19;9;1;10;25;28;2;10;10;10;5;6;8;1;1;7;7;7;10;8.0;4
19;9;1;7;23;28;2;10;10;10;5;6;8;1;1;7;7;7;10;10.0;4
19;9;1;5;21;28;2;10;10;10;5;6;8;1;1;7;7;7;10;9.0;4
19;9;1;9;23;28;2;10;10;10;5;6;8;1;1;7;7;7;10;6.0;4
19;9;1;6;22;28;2;10;10;10;5;6;8;1;1;7;7;7;10;9.0;4
19;9;1;1;25;28;2;10;10;10;5;6;8;1;1;7;7;7;10;10.0;4
19;9;1;2;26;28;2;10;10;10;5;6;8;1;1;7;7;7;10;7.0;4
19;9;1;3;26;28;2;10;10;10;5;6;8;1;1;7;7;7;10;7.0;4
20;10;1;9;21;24;2;10;10;10;9;4;8;3;8;8;6;5;10;6.0;1
20;10;1;5;24;24;2;10;10;10;9;4;8;3;8;8;6;5;10;7.0;1
20;10;1;1;25;24;2;10;10;10;9;4;8;3;8;8;6;5;10;5.0;1
20;10;1;8;23;24;2;10;10;10;9;4;8;3;8;8;6;5;10;7.0;1
20;10;1;6;21;24;2;10;10;10;9;4;8;3;8;8;6;5;10;7.0;1
20;10;1;10;23;24;2;10;10;10;9;4;8;3;8;8;6;5;10;6.0;1
20;10;1;7;22;24;2;10;10;10;9;4;8;3;8;8;6;5;10;6.0;1
20;10;1;2;25;24;2;10;10;10;9;4;8;3;8;8;6;5;10;9.0;1
20;10;1;3;26;24;2;10;10;10;9;4;8;3;8;8;6;5;10;6.0;1
20;10;1;4;26;24;2;10;10;10;9;4;8;3;8;8;6;5;10;6.0;1
21;1;0;6;25;21;4;10;8;5;5;2;7;10;4;7;8;5;2;9.0;6
21;1;0;7;30;21;4;10;8;5;5;2;7;10;4;7;8;5;2;5.0;6
21;1;0;8;23;21;4;10;8;5;5;2;7;10;4;7;8;5;2;8.0;6
21;1;0;11;24;21;4;10;8;5;5;2;7;10;4;7;8;5;2;4.0;6
21;1;0;15;24;21;4;10;8;5;5;2;7;10;4;7;8;5;2;5.0;6
21;1;0;2;28;21;4;10;8;5;5;2;7;10;4;7;8;5;2;6.0;6
21;1;0;5;26;21;4;10;8;5;5;2;7;10;4;7;8;5;2;6.0;6
21;1;0;12;30;21;4;10;8;5;5;2;7;10;4;7;8;5;2;4.0;6
21;1;0;16;22;21;4;10;8;5;5;2;7;10;4;7;8;5;2;5.0;6
21;1;0;3;25;21;4;10;8;5;5;2;7;10;4;7;8;5;2;9.0;6
21;1;0;4;27;21;4;10;8;5;5;2;7;10;4;7;8;5;2;7.0;6
21;1;0;13;23;21;4;10;8;5;5;2;7;10;4;7;8;5;2;4.0;6
21;1;0;14;21;21;4;10;8;5;5;2;7;10;4;7;8;5;2;5.0;6
21;1;0;9;28;21;4;10;8;5;5;2;7;10;4;7;8;5;2;7.0;6
21;1;0;10;28;21;4;10;8;5;5;2;7;10;4;7;8;5;2;6.0;6
21;1;0;1;23;21;4;10;8;5;5;2;7;10;4;7;8;5;2;8.0;6
22;2;0;8;25;27;1;1;2;8;8;1;8;8;8;9;7;8;8;6.0;1
22;2;0;9;30;27;1;1;2;8;8;1;8;8;8;9;7;8;8;6.0;1
22;2;0;10;23;27;1;1;2;8;8;1;8;8;8;9;7;8;8;5.0;1
22;2;0;13;24;27;1;1;2;8;8;1;8;8;8;9;7;8;8;5.0;1
22;2;0;1;24;27;1;1;2;8;8;1;8;8;8;9;7;8;8;7.0;1
22;2;0;4;28;27;1;1;2;8;8;1;8;8;8;9;7;8;8;4.0;1
22;2;0;7;26;27;1;1;2;8;8;1;8;8;8;9;7;8;8;7.0;1
22;2;0;14;30;27;1;1;2;8;8;1;8;8;8;9;7;8;8;6.0;1
22;2;0;2;22;27;1;1;2;8;8;1;8;8;8;9;7;8;8;7.0;1
22;2;0;5;25;27;1;1;2;8;8;1;8;8;8;9;7;8;8;5.0;1
22;2;0;6;27;27;1;1;2;8;8;1;8;8;8;9;7;8;8;7.0;1
22;2;0;15;23;27;1;1;2;8;8;1;8;8;8;9;7;8;8;4.0;1
22;2;0;16;21;27;1;1;2;8;8;1;8;8;8;9;7;8;8;5.0;1
22;2;0;11;28;27;1;1;2;8;8;1;8;8;8;9;7;8;8;6.0;1
22;2;0;12;28;27;1;1;2;8;8;1;8;8;8;9;7;8;8;4.0;1
22;2;0;3;23;27;1;1;2;8;8;1;8;8;8;9;7;8;8;7.0;1
23;3;0;5;25;21;4;2;2;9;6;6;10;9;10;10;10;10;3;6.0;1
23;3;0;6;30;21;4;2;2;9;6;6;10;9;10;10;10;10;3;6.0;1
23;3;0;7;23;21;4;2;2;9;6;6;10;9;10;10;10;10;3;6.0;1
23;3;0;10;24;21;4;2;2;9;6;6;10;9;10;10;10;10;3;6.0;1
23;3;0;14;24;21;4;2;2;9;6;6;10;9;10;10;10;10;3;6.0;1
23;3;0;1;28;21;4;2;2;9;6;6;10;9;10;10;10;10;3;6.0;1
23;3;0;4;26;21;4;2;2;9;6;6;10;9;10;10;10;10;3;7.0;1
23;3;0;11;30;21;4;2;2;9;6;6;10;9;10;10;10;10;3;6.0;1
23;3;0;15;22;21;4;2;2;9;6;6;10;9;10;10;10;10;3;8.0;1
23;3;0;2;25;21;4;2;2;9;6;6;10;9;10;10;10;10;3;7.0;1
23;3;0;3;27;21;4;2;2;9;6;6;10;9;10;10;10;10;3;8.0;1
23;3;0;12;23;21;4;2;2;9;6;6;10;9;10;10;10;10;3;4.0;1
23;3;0;13;21;21;4;2;2;9;6;6;10;9;10;10;10;10;3;7.0;1
23;3;0;8;28;21;4;2;2;9;6;6;10;9;10;10;10;10;3;;1
23;3;0;9;28;21;4;2;2;9;6;6;10;9;10;10;10;10;3;6.0;1
23;3;0;16;23;21;4;2;2;9;6;6;10;9;10;10;10;10;3;6.0;1
24;4;0;11;25;27;2;10;1;9;6;10;6;1;6;9;8;6;7;7.0;2
24;4;0;12;30;27;2;10;1;9;6;10;6;1;6;9;8;6;7;;2
24;4;0;13;23;27;2;10;1;9;6;10;6;1;6;9;8;6;7;7.0;2
24;4;0;16;24;27;2;10;1;9;6;10;6;1;6;9;8;6;7;8.0;2
24;4;0;4;24;27;2;10;1;9;6;10;6;1;6;9;8;6;7;;2
24;4;0;7;28;27;2;10;1;9;6;10;6;1;6;9;8;6;7;;2
24;4;0;10;26;27;2;10;1;9;6;10;6;1;6;9;8;6;7;8.0;2
24;4;0;1;30;27;2;10;1;9;6;10;6;1;6;9;8;6;7;7.0;2
24;4;0;5;22;27;2;10;1;9;6;10;6;1;6;9;8;6;7;8.0;2
24;4;0;8;25;27;2;10;1;9;6;10;6;1;6;9;8;6;7;8.0;2
24;4;0;9;27;27;2;10;1;9;6;10;6;1;6;9;8;6;7;8.0;2
24;4;0;2;23;27;2;10;1;9;6;10;6;1;6;9;8;6;7;7.0;2
24;4;0;3;21;27;2;10;1;9;6;10;6;1;6;9;8;6;7;6.0;2
24;4;0;14;28;27;2;10;1;9;6;10;6;1;6;9;8;6;7;7.0;2
24;4;0;15;28;27;2;10;1;9;6;10;6;1;6;9;8;6;7;8.0;2
24;4;0;6;23;27;2;10;1;9;6;10;6;1;6;9;8;6;7;;2
25;5;0;13;25;25;2;7;4;7;3;5;9;9;7;10;8;8;4;6.0;1
25;5;0;14;30;25;2;7;4;7;3;5;9;9;7;10;8;8;4;6.0;1
25;5;0;15;23;25;2;7;4;7;3;5;9;9;7;10;8;8;4;7.0;1
25;5;0;2;24;25;2;7;4;7;3;5;9;9;7;10;8;8;4;4.0;1
25;5;0;6;24;25;2;7;4;7;3;5;9;9;7;10;8;8;4;7.0;1
25;5;0;9;28;25;2;7;4;7;3;5;9;9;7;10;8;8;4;5.0;1
25;5;0;12;26;25;2;7;4;7;3;5;9;9;7;10;8;8;4;6.0;1
25;5;0;3;30;25;2;7;4;7;3;5;9;9;7;10;8;8;4;8.0;1
25;5;0;7;22;25;2;7;4;7;3;5;9;9;7;10;8;8;4;8.0;1
25;5;0;10;25;25;2;7;4;7;3;5;9;9;7;10;8;8;4;8.0;1
25;5;0;11;27;25;2;7;4;7;3;5;9;9;7;10;8;8;4;8.0;1
25;5;0;4;23;25;2;7;4;7;3;5;9;9;7;10;8;8;4;7.0;1
25;5;0;5;21;25;2;7;4;7;3;5;9;9;7;10;8;8;4;5.0;1
25;5;0;16;28;25;2;7;4;7;3;5;9;9;7;10;8;8;4;7.0;1
25;5;0;1;28;25;2;7;4;7;3;5;9;9;7;10;8;8;4;6.0;1
25;5;0;8;23;25;2;7;4;7;3;5;9;9;7;10;8;8;4;8.0;1
26;6;0;14;25;23;2;9;4;7;4;6;5;3;9;9;4;5;1;3.0;1
26;6;0;15;30;23;2;9;4;7;4;6;5;3;9;9;4;5;1;3.0;1
26;6;0;16;23;23;2;9;4;7;4;6;5;3;9;9;4;5;1;3.0;1
26;6;0;3;24;23;2;9;4;7;4;6;5;3;9;9;4;5;1;1.0;1
26;6;0;7;24;23;2;9;4;7;4;6;5;3;9;9;4;5;1;6.0;1
26;6;0;10;28;23;2;9;4;7;4;6;5;3;9;9;4;5;1;1.0;1
26;6;0;13;26;23;2;9;4;7;4;6;5;3;9;9;4;5;1;6.0;1
26;6;0;4;30;23;2;9;4;7;4;6;5;3;9;9;4;5;1;4.0;1
26;6;0;8;22;23;2;9;4;7;4;6;5;3;9;9;4;5;1;7.0;1
26;6;0;11;25;23;2;9;4;7;4;6;5;3;9;9;4;5;1;7.0;1
26;6;0;12;27;23;2;9;4;7;4;6;5;3;9;9;4;5;1;7.0;1
26;6;0;5;23;23;2;9;4;7;4;6;5;3;9;9;4;5;1;5.0;1
26;6;0;6;21;23;2;9;4;7;4;6;5;3;9;9;4;5;1;4.0;1
26;6;0;1;28;23;2;9;4;7;4;6;5;3;9;9;4;5;1;6.0;1
26;6;0;2;28;23;2;9;4;7;4;6;5;3;9;9;4;5;1;2.0;1
26;6;0;9;23;23;2;9;4;7;4;6;5;3;9;9;4;5;1;6.0;1
27;7;0;5;25;22;3;7;6;8;6;8;8;5;5;5;7;7;8;6.0;1
27;7;0;6;30;22;3;7;6;8;6;8;8;5;5;5;7;7;8;2.0;1
27;7;0;7;23;22;3;7;6;8;6;8;8;5;5;5;7;7;8;2.0;1
27;7;0;10;24;22;3;7;6;8;6;8;8;5;5;5;7;7;8;6.0;1
27;7;0;14;24;22;3;7;6;8;6;8;8;5;5;5;7;7;8;2.0;1
27;7;0;1;28;22;3;7;6;8;6;8;8;5;5;5;7;7;8;4.0;1
27;7;0;4;26;22;3;7;6;8;6;8;8;5;5;5;7;7;8;6.0;1
27;7;0;11;30;22;3;7;6;8;6;8;8;5;5;5;7;7;8;4.0;1
27;7;0;15;22;22;3;7;6;8;6;8;8;5;5;5;7;7;8;5.0;1
27;7;0;2;25;22;3;7;6;8;6;8;8;5;5;5;7;7;8;5.0;1
27;7;0;3;27;22;3;7;6;8;6;8;8;5;5;5;7;7;8;7.0;1
27;7;0;12;23;22;3;7;6;8;6;8;8;5;5;5;7;7;8;1.0;1
27;7;0;13;21;22;3;7;6;8;6;8;8;5;5;5;7;7;8;1.0;1
27;7;0;8;28;22;3;7;6;8;6;8;8;5;5;5;7;7;8;3.0;1
27;7;0;9;28;22;3;7;6;8;6;8;8;5;5;5;7;7;8;3.0;1
27;7;0;16;23;22;3;7;6;8;6;8;8;5;5;5;7;7;8;4.0;1
28;8;0;3;25;26;2;;;;;;;;;;;;;6.0;
28;8;0;4;30;26;2;;;;;;;;;;;;;4.0;
28;8;0;5;23;26;2;;;;;;;;;;;;;5.0;
